second,Volt
-250.0000E-09,-4.2499990668E-03
-249.5000E-09,+8.2500006538E-03
-249.0000E-09,+80.1249990473E-03
-248.5000E-09,-15.4999988154E-03
-248.0000E-09,-37.9999983124E-03
-247.5000E-09,-16.1249988014E-03
-247.0000E-09,-9.2499989551E-03
-246.5000E-09,-7.9999989830E-03
-246.0000E-09,-1.7499991227E-03
-245.5000E-09,+1.3750008075E-03
-245.0000E-09,+20.7500003744E-03
-244.5000E-09,+18.2500004303E-03
-244.0000E-09,+3.8750007516E-03
-243.5000E-09,-7.9999989830E-03
-243.0000E-09,-9.8749989411E-03
-242.5000E-09,-5.4999990389E-03
-242.0000E-09,-6.1249990249E-03
-241.5000E-09,-2.3749991087E-03
-241.0000E-09,+40.1249999413E-03
-240.5000E-09,+44.4999998435E-03
-240.0000E-09,-26.7499985639E-03
-239.5000E-09,-29.8749984940E-03
-239.0000E-09,-13.6249988573E-03
-238.5000E-09,-9.8749989411E-03
-238.0000E-09,-5.4999990389E-03
-237.5000E-09,-499.9991506E-06
-237.0000E-09,+10.7500005979E-03
-236.5000E-09,+20.1250003884E-03
-236.0000E-09,+10.1250006119E-03
-235.5000E-09,-1.1249991367E-03
-235.0000E-09,-7.9999989830E-03
-234.5000E-09,-9.2499989551E-03
-234.0000E-09,-7.3749989970E-03
-233.5000E-09,-4.8749990528E-03
-233.0000E-09,+2.6250007795E-03
-232.5000E-09,+76.9999991171E-03
-232.0000E-09,-3.6249990808E-03
-231.5000E-09,-36.7499983404E-03
-231.0000E-09,-20.4999987036E-03
-230.5000E-09,-6.7499990109E-03
-230.0000E-09,-6.1249990249E-03
-229.5000E-09,-1.7499991227E-03
-229.0000E-09,+125.0008354E-06
-228.5000E-09,+17.0000004582E-03
-228.0000E-09,+20.7500003744E-03
-227.5000E-09,+6.3750006957E-03
-227.0000E-09,-6.7499990109E-03
-226.5000E-09,-9.2499989551E-03
-226.0000E-09,-10.4999989271E-03
-225.5000E-09,-7.3749989970E-03
-225.0000E-09,-3.6249990808E-03
-224.5000E-09,+21.3750003604E-03
-224.0000E-09,+66.3749993546E-03
-223.5000E-09,-25.4999985918E-03
-223.0000E-09,-36.1249983544E-03
-222.5000E-09,-13.6249988573E-03
-222.0000E-09,-7.9999989830E-03
-221.5000E-09,-6.1249990249E-03
-221.0000E-09,-2.9999990948E-03
-220.5000E-09,+4.5000007376E-03
-220.0000E-09,+23.2500003185E-03
-219.5000E-09,+13.8750005281E-03
-219.0000E-09,+125.0008354E-06
-218.5000E-09,-7.3749989970E-03
-218.0000E-09,-11.7499988992E-03
-217.5000E-09,-7.9999989830E-03
-217.0000E-09,-499.9991506E-06
-216.5000E-09,+2.0000007935E-03
-216.0000E-09,+63.8749994105E-03
-215.5000E-09,+18.8750004163E-03
-215.0000E-09,-32.9999984242E-03
-214.5000E-09,-24.2499986198E-03
-214.0000E-09,-12.3749988852E-03
-213.5000E-09,-9.8749989411E-03
-213.0000E-09,-4.2499990668E-03
-212.5000E-09,+1.3750008075E-03
-212.0000E-09,+13.2500005420E-03
-211.5000E-09,+18.2500004303E-03
-211.0000E-09,+7.0000006817E-03
-210.5000E-09,-4.2499990668E-03
-210.0000E-09,-9.8749989411E-03
-209.5000E-09,-9.2499989551E-03
-209.0000E-09,-4.8749990528E-03
-208.5000E-09,-4.8749990528E-03
-208.0000E-09,+9.5000006259E-03
-207.5000E-09,+76.9999991170E-03
-207.0000E-09,-17.9999987595E-03
-206.5000E-09,-38.6249982985E-03
-206.0000E-09,-15.4999988154E-03
-205.5000E-09,-9.2499989551E-03
-205.0000E-09,-7.9999989830E-03
-204.5000E-09,-499.9991506E-06
-204.0000E-09,+6.3750006957E-03
-203.5000E-09,+22.0000003464E-03
-203.0000E-09,+19.5000004023E-03
-202.5000E-09,+1.3750008074E-03
-202.0000E-09,-7.9999989830E-03
-201.5000E-09,-9.8749989411E-03
-201.0000E-09,-9.2499989551E-03
-200.5000E-09,-7.9999989830E-03
-200.0000E-09,-2.3749991087E-03
-199.5000E-09,+40.7499999274E-03
-199.0000E-09,+43.2499998714E-03
-198.5000E-09,-26.7499985639E-03
-198.0000E-09,-31.1249984661E-03
-197.5000E-09,-13.6249988573E-03
-197.0000E-09,-11.7499988992E-03
-196.5000E-09,-3.6249990808E-03
-196.0000E-09,+125.0008354E-06
-195.5000E-09,+9.5000006259E-03
-195.0000E-09,+20.1250003884E-03
-194.5000E-09,+12.6250005560E-03
-194.0000E-09,-499.9991506E-06
-193.5000E-09,-9.2499989551E-03
-193.0000E-09,-8.6249989690E-03
-192.5000E-09,-7.3749989970E-03
-192.0000E-09,-5.4999990389E-03
-191.5000E-09,+1.3750008076E-03
-191.0000E-09,+79.4999990611E-03
-190.5000E-09,+750.0008214E-06
-190.0000E-09,-36.1249983543E-03
-189.5000E-09,-19.8749987176E-03
-189.0000E-09,-10.4999989271E-03
-188.5000E-09,-9.2499989550E-03
-188.0000E-09,-499.9991506E-06
-187.5000E-09,+1.3750008075E-03
-187.0000E-09,+18.2500004303E-03
-186.5000E-09,+20.1250003883E-03
-186.0000E-09,+7.6250006677E-03
-185.5000E-09,-7.9999989830E-03
-185.0000E-09,-9.8749989411E-03
-184.5000E-09,-9.8749989411E-03
-184.0000E-09,-4.8749990528E-03
-183.5000E-09,-3.6249990807E-03
-183.0000E-09,+22.0000003465E-03
-182.5000E-09,+68.2499993125E-03
-182.0000E-09,-23.6249986338E-03
-181.5000E-09,-37.9999983124E-03
-181.0000E-09,-14.8749988293E-03
-180.5000E-09,-7.9999989830E-03
-180.0000E-09,-4.2499990668E-03
-179.5000E-09,-1.7499991227E-03
-179.0000E-09,+5.7500007097E-03
-178.5000E-09,+24.5000002906E-03
-178.0000E-09,+17.6250004442E-03
-177.5000E-09,+125.0008354E-06
-177.0000E-09,-9.2499989551E-03
-176.5000E-09,-9.2499989551E-03
-176.0000E-09,-7.3749989970E-03
-175.5000E-09,-3.6249990808E-03
-175.0000E-09,-2.9999990946E-03
-174.5000E-09,+61.9999994523E-03
-174.0000E-09,+17.6250004441E-03
-173.5000E-09,-32.3749984382E-03
-173.0000E-09,-26.7499985639E-03
-172.5000E-09,-13.6249988573E-03
-172.0000E-09,-7.9999989830E-03
-171.5000E-09,-1.7499991227E-03
-171.0000E-09,+125.0008354E-06
-170.5000E-09,+14.5000005141E-03
-170.0000E-09,+22.6250003325E-03
-169.5000E-09,+8.8750006398E-03
-169.0000E-09,-1.7499991227E-03
-168.5000E-09,-9.8749989411E-03
-168.0000E-09,-9.8749989411E-03
-167.5000E-09,-5.4999990389E-03
-167.0000E-09,-2.3749991087E-03
-166.5000E-09,+8.8750006400E-03
-166.0000E-09,+79.4999990610E-03
-165.5000E-09,-14.2499988434E-03
-165.0000E-09,-36.1249983543E-03
-164.5000E-09,-16.7499987874E-03
-164.0000E-09,-10.4999989271E-03
-163.5000E-09,-5.4999990389E-03
-163.0000E-09,-1.1249991367E-03
-162.5000E-09,+1.3750008075E-03
-162.0000E-09,+20.7500003744E-03
-161.5000E-09,+15.7500004861E-03
-161.0000E-09,+125.0008354E-06
-160.5000E-09,-8.6249989690E-03
-160.0000E-09,-9.8749989411E-03
-159.5000E-09,-6.7499990109E-03
-159.0000E-09,-6.1249990249E-03
-158.5000E-09,-3.6249990807E-03
-158.0000E-09,+42.6249998855E-03
-157.5000E-09,+44.4999998433E-03
-157.0000E-09,-26.1249985779E-03
-156.5000E-09,-29.8749984940E-03
-156.0000E-09,-15.4999988153E-03
-155.5000E-09,-7.3749989970E-03
-155.0000E-09,-4.8749990528E-03
-154.5000E-09,-1.1249991366E-03
-154.0000E-09,+10.1250006119E-03
-153.5000E-09,+23.2500003185E-03
-153.0000E-09,+13.8750005280E-03
-152.5000E-09,-2.3749991087E-03
