second,Volt
+62.6200000E-06,-25.7812503840E-03
+62.6202000E-06,-38.2812505703E-03
+62.6204000E-06,-44.5312506635E-03
+62.6206000E-06,-34.5703130152E-03
+62.6208000E-06,-27.3437504075E-03
+62.6210000E-06,-3.9062500582E-03
+62.6212000E-06,+5.4687500815E-03
+62.6214000E-06,+10.1562501513E-03
+62.6216000E-06,+7.8613282421E-03
+62.6218000E-06,+6.2500000931E-03
+62.6220000E-06,-1.5625000233E-03
+62.6222000E-06,-4.6875000699E-03
+62.6224000E-06,-6.2500000931E-03
+62.6226000E-06,-5.8105469616E-03
+62.6228000E-06,-5.4687500814E-03
+62.6230000E-06,-2.3437500349E-03
+62.6232000E-06,-1.5625000233E-03
+62.6234000E-06,-2.3437500349E-03
+62.6236000E-06,-1.0253906403E-03
+62.6238000E-06,+0.0E+00
+62.6240000E-06,-0.0E+00
+62.6242000E-06,-1.5625000232E-03
+62.6244000E-06,+781.2500116E-06
+62.6246000E-06,+781.2500116E-06
+62.6248000E-06,+781.2500116E-06
+62.6250000E-06,+781.2500115E-06
+62.6252000E-06,-1.5625000233E-03
+62.6254000E-06,-1.5625000233E-03
+62.6256000E-06,-1.1230468917E-03
+62.6258000E-06,-781.2500117E-06
+62.6260000E-06,-1.5625000233E-03
+62.6262000E-06,-1.5625000233E-03
+62.6264000E-06,-2.3437500348E-03
+62.6266000E-06,-1.0253906402E-03
+62.6268000E-06,+100E-15
+62.6270000E-06,+1.5625000237E-03
+62.6272000E-06,+7.8125001188E-03
+62.6274000E-06,+43.7500006534E-03
+62.6276000E-06,+64.5507822130E-03
+62.6278000E-06,+79.6875011845E-03
+62.6280000E-06,+39.0625005774E-03
+62.6282000E-06,-22.6562503391E-03
+62.6284000E-06,-42.1875006290E-03
+62.6286000E-06,-46.2890631900E-03
+62.6288000E-06,-49.2187507321E-03
+62.6290000E-06,-33.5937504983E-03
+62.6292000E-06,-7.0312501035E-03
+62.6294000E-06,+7.0312501050E-03
+62.6296000E-06,+9.7167970200E-03
+62.6298000E-06,+11.7187501743E-03
+62.6300000E-06,+7.8125001158E-03
+62.6302000E-06,+1.5625000228E-03
+62.6304000E-06,-3.1250000468E-03
+62.6306000E-06,-5.8593750875E-03
+62.6308000E-06,-7.8125001162E-03
+62.6310000E-06,-6.2500000929E-03
+62.6312000E-06,-3.9062500580E-03
+62.6314000E-06,-2.3437500348E-03
+62.6316000E-06,-1.4648437717E-03
+62.6318000E-06,-781.2500116E-06
+62.6320000E-06,+100E-15
+62.6322000E-06,+781.2500115E-06
+62.6324000E-06,+0.0E+00
+62.6326000E-06,+0.0E+00
+62.6328000E-06,+200E-15
+62.6330000E-06,+1.5625000231E-03
+62.6332000E-06,+0.0E+00
+62.6334000E-06,-200E-15
+62.6336000E-06,-1.3671875205E-03
+62.6338000E-06,-2.3437500346E-03
+62.6340000E-06,+100E-15
+62.6342000E-06,+781.2500118E-06
+62.6344000E-06,+1.5625000231E-03
+62.6346000E-06,+195.3125028E-06
+62.6348000E-06,-781.2500116E-06
+62.6350000E-06,-781.2500118E-06
+62.6352000E-06,-1.5625000227E-03
+62.6354000E-06,+2.3437500376E-03
+62.6356000E-06,+19.5312502930E-03
+62.6358000E-06,+32.0312504846E-03
+62.6360000E-06,+77.3437511486E-03
+62.6362000E-06,+53.1250007809E-03
+62.6364000E-06,-11.7187501771E-03
+62.6366000E-06,-26.2207035175E-03
+62.6368000E-06,-36.7187505485E-03
+62.6370000E-06,-44.5312506619E-03
+62.6372000E-06,-35.1562505193E-03
+62.6374000E-06,-9.3750001380E-03
+62.6376000E-06,+97.6562527E-06
+62.6378000E-06,+7.0312501055E-03
+62.6380000E-06,+10.9375001623E-03
+62.6382000E-06,+7.0312501035E-03
+62.6384000E-06,-400E-15
+62.6386000E-06,-2.2949219095E-03
+62.6388000E-06,-3.9062500584E-03
+62.6390000E-06,-4.6875000703E-03
+62.6392000E-06,-7.0312501046E-03
+62.6394000E-06,-6.2500000929E-03
+62.6396000E-06,-4.9316406983E-03
+62.6398000E-06,-3.9062500576E-03
+62.6400000E-06,-781.2500115E-06
+62.6402000E-06,+0.0E+00
+62.6404000E-06,+100E-15
+62.6406000E-06,+439.4531316E-06
+62.6408000E-06,+781.2500116E-06
+62.6410000E-06,+781.2500115E-06
+62.6412000E-06,-300E-15
+62.6414000E-06,-1.5625000232E-03
+62.6416000E-06,-1.1230468917E-03
+62.6418000E-06,-781.2500120E-06
+62.6420000E-06,-2.3437500349E-03
+62.6422000E-06,-2.3437500346E-03
+62.6424000E-06,-781.2500116E-06
+62.6426000E-06,-781.2500116E-06
+62.6428000E-06,-781.2500116E-06
+62.6430000E-06,-781.2500115E-06
+62.6432000E-06,+200E-15
+62.6434000E-06,+781.2500117E-06
+62.6436000E-06,+1.2207031433E-03
+62.6438000E-06,+1.5625000281E-03
+62.6440000E-06,+21.0937503269E-03
+62.6442000E-06,+71.0937510572E-03
+62.6444000E-06,+62.5000009217E-03
+62.6446000E-06,+24.8535159883E-03
+62.6448000E-06,-2.3437500432E-03
+62.6450000E-06,-34.3750005151E-03
+62.6452000E-06,-45.3125006740E-03
+62.6454000E-06,-40.6250006015E-03
+62.6456000E-06,-26.1718753872E-03
+62.6458000E-06,-15.6250002282E-03
+62.6460000E-06,+1.5625000250E-03
+62.6462000E-06,+7.8125001166E-03
+62.6464000E-06,+8.5937501272E-03
+62.6466000E-06,+5.4199219551E-03
+62.6468000E-06,+3.1250000452E-03
+62.6470000E-06,-1.5625000239E-03
+62.6472000E-06,-3.9062500587E-03
+62.6474000E-06,-5.4687500811E-03
+62.6476000E-06,-4.1503906865E-03
+62.6478000E-06,-3.1250000461E-03
+62.6480000E-06,-1.5625000231E-03
+62.6482000E-06,-781.2500112E-06
+62.6484000E-06,+781.2500118E-06
+62.6486000E-06,+1.2207031433E-03
+62.6488000E-06,+1.5625000230E-03
+62.6490000E-06,+781.2500112E-06
+62.6492000E-06,-781.2500114E-06
+62.6494000E-06,-300E-15
+62.6496000E-06,-927.7343890E-06
+62.6498000E-06,-1.5625000233E-03
+62.6500000E-06,-1.5625000235E-03
+62.6502000E-06,-2.3437500349E-03
+62.6504000E-06,-2.3437500348E-03
+62.6506000E-06,-1.9042969033E-03
+62.6508000E-06,-1.5625000230E-03
+62.6510000E-06,-781.2500119E-06
+62.6512000E-06,-1.5625000230E-03
+62.6514000E-06,-781.2500118E-06
+62.6516000E-06,-1.2695312690E-03
+62.6518000E-06,-1.5625000230E-03
+62.6520000E-06,-781.2500061E-06
+62.6522000E-06,+15.6250002488E-03
+62.6524000E-06,+62.5000009335E-03
+62.6526000E-06,+68.7988291518E-03
+62.6528000E-06,+73.4375010726E-03
+62.6530000E-06,+10.9375001485E-03
+62.6532000E-06,-30.4687504581E-03
+62.6534000E-06,-42.1875006291E-03
+62.6536000E-06,-43.5546881494E-03
+62.6538000E-06,-44.5312506554E-03
+62.6540000E-06,-21.8750003178E-03
+62.6542000E-06,+781.2500148E-06
+62.6544000E-06,+9.3750001402E-03
+62.6546000E-06,+10.6933595347E-03
+62.6548000E-06,+11.7187501717E-03
+62.6550000E-06,+3.9062500556E-03
+62.6552000E-06,-3.1250000472E-03
+62.6554000E-06,-4.6875000705E-03
+62.6556000E-06,-6.5429688480E-03
+62.6558000E-06,-7.8125001158E-03
+62.6560000E-06,-6.2500000922E-03
+62.6562000E-06,-3.9062500576E-03
+62.6564000E-06,-2.3437500346E-03
+62.6566000E-06,-1.4648437716E-03
+62.6568000E-06,-781.2500116E-06
+62.6570000E-06,-781.2500110E-06
+62.6572000E-06,+781.2500116E-06
+62.6574000E-06,+781.2500114E-06
+62.6576000E-06,+292.9687542E-06
+62.6578000E-06,+300E-15
+62.6580000E-06,+781.2500116E-06
+62.6582000E-06,+781.2500120E-06
+62.6584000E-06,+1.5625000229E-03
+62.6586000E-06,+634.7656342E-06
+62.6588000E-06,+300E-15
+62.6590000E-06,+781.2500116E-06
+62.6592000E-06,+781.2500116E-06
+62.6594000E-06,+781.2500116E-06
+62.6596000E-06,+781.2500116E-06
+62.6598000E-06,+781.2500113E-06
+62.6600000E-06,-300E-15
+62.6602000E-06,-781.2500076E-06
+62.6604000E-06,+8.5937501388E-03
+62.6606000E-06,+33.4960942570E-03
+62.6608000E-06,+51.5625007785E-03
+62.6610000E-06,+75.0000010947E-03
+62.6612000E-06,+22.6562503153E-03
+62.6614000E-06,-28.1250004223E-03
+62.6616000E-06,-35.4003911548E-03
+62.6618000E-06,-40.6250006071E-03
+62.6620000E-06,-44.5312506548E-03
+62.6622000E-06,-25.0000003616E-03
+62.6624000E-06,-781.2500090E-06
+62.6626000E-06,+5.0781250776E-03
+62.6628000E-06,+9.3750001401E-03
+62.6630000E-06,+10.1562501492E-03
+62.6632000E-06,+5.4687500793E-03
+62.6634000E-06,+781.2500104E-06
+62.6636000E-06,-1.9531250300E-03
+62.6638000E-06,-3.9062500593E-03
+62.6640000E-06,-6.2500000928E-03
+62.6642000E-06,-5.4687500808E-03
+62.6644000E-06,-3.9062500574E-03
+62.6646000E-06,-2.0996094057E-03
+62.6648000E-06,-781.2500116E-06
+62.6650000E-06,-781.2500116E-06
+62.6652000E-06,-781.2500116E-06
+62.6654000E-06,-781.2500119E-06
+62.6656000E-06,-1.2695312691E-03
+62.6658000E-06,-1.5625000244E-03
+62.6660000E-06,-3.9062500578E-03
+62.6662000E-06,-3.1250000454E-03
+62.6664000E-06,-781.2500114E-06
+62.6666000E-06,-341.7968799E-06
+62.6668000E-06,+0.0E+00
+62.6670000E-06,+0.0E+00
+62.6672000E-06,+400E-15
+62.6674000E-06,+781.2500119E-06
+62.6676000E-06,+1.2207031434E-03
+62.6678000E-06,+1.5625000225E-03
+62.6680000E-06,+400E-15
+62.6682000E-06,+781.2500120E-06
+62.6684000E-06,+1.5625000247E-03
+62.6686000E-06,+4.2480469393E-03
+62.6688000E-06,+6.2500001119E-03
+62.6690000E-06,+42.1875006475E-03
+62.6692000E-06,+78.1250011427E-03
+62.6694000E-06,+37.5000005413E-03
+62.6696000E-06,+4.4433594285E-03
+62.6698000E-06,-19.5312503010E-03
+62.6700000E-06,-38.2812505750E-03
+62.6702000E-06,-46.8750006913E-03
+62.6704000E-06,-33.5937504923E-03
+62.6706000E-06,-18.2128908903E-03
+62.6708000E-06,-7.0312500971E-03
+62.6710000E-06,+7.0312501069E-03
+62.6712000E-06,+10.9375001595E-03
+62.6714000E-06,+4.6875000678E-03
+62.6716000E-06,+1.0253906388E-03
+62.6718000E-06,-1.5625000250E-03
+62.6720000E-06,-4.6875000712E-03
+62.6722000E-06,-7.0312501048E-03
+62.6724000E-06,-7.0312501040E-03
+62.6726000E-06,-5.7128907095E-03
+62.6728000E-06,-4.6875000685E-03
+62.6730000E-06,-2.3437500345E-03
+62.6732000E-06,-1.5625000219E-03
+62.6734000E-06,+781.2500116E-06
+62.6736000E-06,+781.2500116E-06
+62.6738000E-06,+781.2500116E-06
+62.6740000E-06,+781.2500112E-06
+62.6742000E-06,+0.0E+00
+62.6744000E-06,-500E-15
+62.6746000E-06,-927.7343892E-06
+62.6748000E-06,-1.5625000237E-03
+62.6750000E-06,-2.3437500349E-03
+62.6752000E-06,-2.3437500335E-03
+62.6754000E-06,+300E-15
+62.6756000E-06,+439.4531318E-06
+62.6758000E-06,+781.2500112E-06
+62.6760000E-06,+500E-15
+62.6762000E-06,+781.2500102E-06
+62.6764000E-06,-1.5625000230E-03
+62.6766000E-06,-1.1230468915E-03
+62.6768000E-06,-781.2500093E-06
+62.6770000E-06,+3.1250000652E-03
+62.6772000E-06,+33.5937505275E-03
+62.6774000E-06,+77.3437511427E-03
+62.6776000E-06,+61.4746102839E-03
+62.6778000E-06,+50.0000007067E-03
+62.6780000E-06,-11.7187501892E-03
+62.6782000E-06,-35.1562505302E-03
+62.6784000E-06,-45.3125006718E-03
+62.6786000E-06,-39.8925787170E-03
+62.6788000E-06,-35.9375005187E-03
+62.6790000E-06,-9.3750001303E-03
+62.6792000E-06,+5.4687500845E-03
+62.6794000E-06,+10.1562501505E-03
+62.6796000E-06,+8.7890626303E-03
+62.6798000E-06,+7.8125001119E-03
+62.6800000E-06,+781.2500086E-06
+62.6802000E-06,-3.9062500602E-03
+62.6804000E-06,-7.0312501042E-03
+62.6806000E-06,-6.1523438412E-03
+62.6808000E-06,-5.4687500805E-03
+62.6810000E-06,-3.9062500567E-03
+62.6812000E-06,-1.5625000217E-03
+62.6814000E-06,+781.2500107E-06
+62.6816000E-06,-585.9375094E-06
+62.6818000E-06,-1.5625000228E-03
+62.6820000E-06,-781.2500111E-06
+62.6822000E-06,-500E-15
+62.6824000E-06,-781.2500113E-06
+62.6826000E-06,-341.7968799E-06
+62.6828000E-06,-500E-15
+62.6830000E-06,-781.2500122E-06
+62.6832000E-06,-1.5625000222E-03
+62.6834000E-06,-300E-15
+62.6836000E-06,-488.2812575E-06
+62.6838000E-06,-781.2500116E-06
+62.6840000E-06,-781.2500111E-06
+62.6842000E-06,-1.1E-12
+62.6844000E-06,-1.5625000230E-03
+62.6846000E-06,-1.1230468915E-03
+62.6848000E-06,-781.2500116E-06
+62.6850000E-06,-781.2500100E-06
+62.6852000E-06,+1.5625000381E-03
+62.6854000E-06,+22.6562503574E-03
+62.6856000E-06,+50.6835945197E-03
+62.6858000E-06,+71.0937510516E-03
+62.6860000E-06,+60.1562508514E-03
+62.6862000E-06,-3.1250000689E-03
+62.6864000E-06,-34.3750005161E-03
+62.6866000E-06,-39.8437505965E-03
+62.6868000E-06,-43.7500006491E-03
+62.6870000E-06,-39.8437505757E-03
+62.6872000E-06,-14.8437502093E-03
+62.6874000E-06,+1.5625000262E-03
+62.6876000E-06,+5.6152344608E-03
+62.6878000E-06,+8.5937501275E-03
+62.6880000E-06,+7.8125001136E-03
+62.6882000E-06,+3.9062500542E-03
+62.6884000E-06,-1.5625000250E-03
+62.6886000E-06,-3.8574219337E-03
+62.6888000E-06,-5.4687500821E-03
+62.6890000E-06,-6.2500000920E-03
+62.6892000E-06,-4.6875000681E-03
+62.6894000E-06,-2.3437500339E-03
+62.6896000E-06,-1.0253906395E-03
+62.6898000E-06,+600E-15
+62.6900000E-06,+781.2500116E-06
+62.6902000E-06,+781.2500116E-06
+62.6904000E-06,+781.2500109E-06
+62.6906000E-06,-146.4843777E-06
+62.6908000E-06,-781.2500122E-06
+62.6910000E-06,-1.5625000245E-03
+62.6912000E-06,-3.1250000466E-03
+62.6914000E-06,-3.1250000456E-03
+62.6916000E-06,-1.8066406511E-03
+62.6918000E-06,-781.2500110E-06
+62.6920000E-06,+600E-15
+62.6922000E-06,+781.2500116E-06
+62.6924000E-06,+781.2500120E-06
+62.6926000E-06,+1.2207031435E-03
+62.6928000E-06,+1.5625000239E-03
+62.6930000E-06,+2.3437500343E-03
+62.6932000E-06,+1.5625000227E-03
+62.6934000E-06,+781.2500185E-06
+62.6936000E-06,+9.3750001447E-03
+62.6938000E-06,+15.6250002714E-03
+62.6940000E-06,+64.0625009615E-03
+62.6942000E-06,+72.6562510332E-03
+62.6944000E-06,+10.9375001426E-03
+62.6946000E-06,-14.4531252302E-03
+62.6948000E-06,-32.8125004990E-03
+62.6950000E-06,-45.3125006777E-03
+62.6952000E-06,-48.4375007021E-03
+62.6954000E-06,-24.2187503495E-03
+62.6956000E-06,-10.2050782687E-03
+62.6958000E-06,+6.4E-12
+62.6960000E-06,+7.8125001190E-03
+62.6962000E-06,+10.9375001572E-03
+62.6964000E-06,+3.9062500548E-03
+62.6966000E-06,-195.3125053E-06
+62.6968000E-06,-3.1250000492E-03
+62.6970000E-06,-6.2500000938E-03
+62.6972000E-06,-7.0312501015E-03
+62.6974000E-06,-3.1250000451E-03
+62.6976000E-06,-1.3183593935E-03
+62.6978000E-06,-1.3E-12
+62.6980000E-06,-1.5625000239E-03
+62.6982000E-06,-2.3437500343E-03
+62.6984000E-06,-1.5625000229E-03
+62.6986000E-06,-1.1230468914E-03
+62.6988000E-06,-781.2500116E-06
+62.6990000E-06,-781.2500116E-06
+62.6992000E-06,-781.2500110E-06
+62.6994000E-06,+0.0E+00
+62.6996000E-06,+0.0E+00
+62.6998000E-06,+0.0E+00
+62.7000000E-06,-1.4E-12
+62.7002000E-06,-1.5625000240E-03
+62.7004000E-06,-2.3437500338E-03
+62.7006000E-06,-1.0253906394E-03
+62.7008000E-06,+0.0E+00
+62.7010000E-06,-700E-15
+62.7012000E-06,-781.2500116E-06
+62.7014000E-06,-781.2500109E-06
+62.7016000E-06,+97.6562521E-06
+62.7018000E-06,+781.2500186E-06
+62.7020000E-06,+8.5937501682E-03
+62.7022000E-06,+53.9062508241E-03
+62.7024000E-06,+77.3437511254E-03
+62.7026000E-06,+46.9726569303E-03
+62.7028000E-06,+25.0000003270E-03
+62.7030000E-06,-25.7812503961E-03
+62.7032000E-06,-39.0625005870E-03
+62.7034000E-06,-44.5312506542E-03
+62.7036000E-06,-34.1308598767E-03
+62.7038000E-06,-26.5625003731E-03
+62.7040000E-06,-1.5625000148E-03
+62.7042000E-06,+7.8125001186E-03
+62.7044000E-06,+10.1562501476E-03
+62.7046000E-06,+6.0546875875E-03
+62.7048000E-06,+3.1250000415E-03
+62.7050000E-06,-2.3437500392E-03
+62.7052000E-06,-7.0312501069E-03
+62.7054000E-06,-9.3750001393E-03
+62.7056000E-06,-8.9355470078E-03
+62.7058000E-06,-8.5937501237E-03
+62.7060000E-06,-3.9062500575E-03
+62.7062000E-06,-3.1250000451E-03
+62.7064000E-06,-1.5625000229E-03
+62.7066000E-06,-1.1230468914E-03
+62.7068000E-06,-781.2500116E-06
+62.7070000E-06,-781.2500109E-06
+62.7072000E-06,+0.0E+00
+62.7074000E-06,-1.3E-12
+62.7076000E-06,-1.3671875213E-03
+62.7078000E-06,-2.3437500342E-03
+62.7080000E-06,-1.5625000211E-03
+62.7082000E-06,+781.2500109E-06
+62.7084000E-06,+0.0E+00
+62.7086000E-06,+0.0E+00
+62.7088000E-06,-800E-15
+62.7090000E-06,-781.2500116E-06
+62.7092000E-06,-781.2500109E-06
+62.7094000E-06,-900E-15
+62.7096000E-06,-927.7343894E-06
+62.7098000E-06,-1.5625000218E-03
+62.7100000E-06,+6.1E-12
+62.7102000E-06,+6.2500001290E-03
+62.7104000E-06,+42.9687506606E-03
+62.7106000E-06,+63.7695322151E-03
+62.7108000E-06,+78.9062511366E-03
+62.7110000E-06,+39.0625005243E-03
+62.7112000E-06,-19.5312503103E-03
+62.7114000E-06,-39.0625005866E-03
+62.7116000E-06,-43.6035162780E-03
+62.7118000E-06,-46.8750006845E-03
+62.7120000E-06,-32.8125004640E-03
+62.7122000E-06,-7.8125001032E-03
+62.7124000E-06,+5.4687500846E-03
+62.7126000E-06,+8.5937501304E-03
+62.7128000E-06,+10.9375001591E-03
+62.7130000E-06,+7.0312500985E-03
+62.7132000E-06,+781.2500069E-06
+62.7134000E-06,-3.9062500591E-03
+62.7136000E-06,-4.8339844477E-03
+62.7138000E-06,-5.4687500791E-03
+62.7140000E-06,-3.1250000458E-03
+62.7142000E-06,-2.3437500341E-03
+62.7144000E-06,-1.5625000228E-03
+62.7146000E-06,-1.1230468914E-03
+62.7148000E-06,-781.2500116E-06
+62.7150000E-06,-781.2500100E-06
+62.7152000E-06,+781.2500116E-06
+62.7154000E-06,+781.2500102E-06
+62.7156000E-06,-585.9375097E-06
+62.7158000E-06,-1.5625000241E-03
+62.7160000E-06,-2.3437500341E-03
+62.7162000E-06,-1.5625000208E-03
+62.7164000E-06,+781.2500107E-06
+62.7166000E-06,-146.4843778E-06
+62.7168000E-06,-781.2500133E-06
+62.7170000E-06,-2.3437500341E-03
+62.7172000E-06,-1.5625000208E-03
+62.7174000E-06,+781.2500116E-06
+62.7176000E-06,+781.2500116E-06
+62.7178000E-06,+781.2500108E-06
+62.7180000E-06,+0.0E+00
+62.7182000E-06,+3.3E-12
+62.7184000E-06,+3.1250000644E-03
+62.7186000E-06,+19.8730471841E-03
